ชื่อ,คำอ่าน,ความหมาย
ญณัฐนันท์,ยะ-นัด-ถะ-นัน,ผู้มีปัญญานักปราชญ์ ปัญญา และความสุขยินดี
ญโณ,ยะ-โน,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญดิณ,ยะ-ดิน,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญดิณกัน,ยะ-ดิน-กัน,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญดิณกิ,ยะ-ดิน-กิ,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญดิณวร,ยะ-ดิน-วอน,ผู้มีความประเสริฐ
ญดินกัณ,ยะ-ดิน-กัน,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญเตียนมนต์,ยะ-เยียน-มน,ผู้มีสิริมงคล
ญนคริน,ยน-คริน,ผู้มีความรื่นไหล
ญนนท์,ยะ-นน,ผู้มีความยินดี
ญนม,นะ-นม,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญนันท์นต,ยะ-นัน-ตะ,ผู้มีความยินดี
ญมนต์กัน,ยะ-มน-กัน,ผู้มีสิริมงคล
ญมนต์กิม,ยะ-มน-กิม,ผู้มีสิริมงคล
ญมนต์ณัฐ,ยะ-มน-นัด,ผู้มีสิริมงคลและปัญญา
ญมนต์ดิณ,ยะ-มน-ดิน,ผู้มีสิริมงคล
ญมนต์มิน,ยะ-มน-มิน,ผู้มีสิริมงคล
ญมนต์รวิ,ยะ-มน-ระ-วิ,ผู้มีสิริมงคล ความสว่าง และความก้าวหน้า
ญมินกณ,ยะ-มิน-กน,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญมินคณ,ยะ-มิน-คน,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญวร,ยะ-วอน,ผู้มีความประเสริฐ
ญวรกัณ,ยะ-วอน-กัน,ผู้มีความประเสริฐ
ญวรวร,ยะ-วอ-ระ-วอน,ผู้มีความประเสริฐ
ญวรอร,ยะ-วอน-ออน,ผู้มีความประเสริฐและความงดงาม
ญวิณ,ยะ-วิน,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญวิณกร,ยะ-วิน-กอน,ผู้มีความสร้างสรรค์
ญวิณกะ,ยะ-วิน-กะ,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญวิณมนต์,ยะ-วิน-มน,ผู้มีสิริมงคล
ญสายโม,ยะ-สาย-โม,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญอร,ยอน,ผู้มีความงดงาม
ญอรกร,ยอน-กอน,ผู้มีความงดงามและความสร้างสรรค์
ญอรกัณ,ยอ-ระ-กัน,ผู้มีความงดงาม
ญอรคิม,ยอ-ระ-คิม,ผู้มีความงดงาม
ญอรณ,ยอ-ระ-นะ,ผู้มีความงดงาม
ญอรณัฐฐ์,ยอ-ระ-นัด,ผู้มีความงดงาม
ญอรวร,ยอ-ระ-วอน,ผู้มีความงดงามและความประเสริฐ
ญอรอร,ยอน-ออน,ผู้มีความงดงาม
ญอิม,ยอ-มิ,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญอิมกร,ยอ-มิ-กอน,ผู้มีความสร้างสรรค์
ญอิมกะ,ยอ-มิ-กะ,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญอิมกิ,อะ-มิ-มะ-กิ,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
ญาณกร,ยา-นะ-กอน,ผู้มีปัญญาและความสร้างสรรค์
ญาณณัช,ยา-นัน-ดัด,ผู้มีญาณปัญญาและความรู้
ญาณธร,ยา-นะ-ทอน,ผู้มีญาณปัญญาและค้ำจุน
ญาณธรรม,ยาน-ทำ,ผู้มีญาณปัญญา ผู้ค้ำจุน และตั้งมั่นในธรรม
ญาณธิป,ยาน-ทิบ,ผู้มีญาณปัญญาและเป็นใหญ่
ญาณพัฒน์,ยาน-นะ-พัด,ผู้มีปัญญาและความเจริญ
ญาณภัค,ยา-นะ-พัก,ผู้มีญาณปัญญาและมีโชค
ญาณภัทร,ยา-นะ-พัด,ผู้มีญาณปัญญาและดีงามเป็นมงคล
ญาณโรจน์,ยาน-นะ-โรด,ผู้มีญาณปัญญาและรุ่งเรืองสว่างไสว
ญาณวร,ยา-นะ-วอน,ผู้มีญาณปัญญาและประเสริฐ
ญาณวรรธน์,ยา-นะ-วัด,ผู้มีญาณปัญญา ผู้ประเสริฐ และเจริญงอกงาม
ญาณวารี,ยาน-วา-รี,ผู้มีญาณปัญญาและใสดุจสายน้ำ
ญาณวุฒิ,ยา-นะ-วุด,ผู้มีความรู้และปัญญาอันเจริญงอกงาม
ญาณอร,ยา-นะ-ออน,ผู้มีญาณปัญญา ความรู้ และความมั่นคงสูงส่ง
ญาณัจฉรา,ยา-นัด-ฉะ-ยา,ผู้มีญาณปัญญา ความรู้ และความอ่อนโยนสง่างาม
ญาณัช,ยา-นัด,ผู้รู้แจ้งด้วยปัญญา
ญาณัท,ยา-นัด,ผู้มีความรู้อันประเสริฐ
ญาณันธร,ยา-นัน-ทอน,ผู้มีญาณปัญญาและค้ำจุน
ญาณากร,ยา-นา-กอน,แหล่งรวมปัญญา
ญาณาธร,ยา-นา-ทอน,ผู้ค้ำจุนปัญญา
ญาณาธิป,ยา-นา-ทิบ,ผู้มีญาณปัญญาและเป็นใหญ่
ญาณิณ,ยา-นิน,ผู้มีญาณปัญญาและความรู้
ญาณิน,ยา-นิน,ผู้มีปัญญา
ญาณินท์,ยา-นิน,ผู้มีความรู้ ความดีงาม และปัญญา
ญาณินทร,ยา-นิน-ทอน,ผู้มีความรู้ ความดีงาม และปัญญา
ญาธิป,ยา-ทิบ,ผู้มีความรู้และเป็นใหญ่
ญานธร,ยา-นะ-ทอน,ผู้มีปัญญารู้แจ้ง ผู้มีความรู้ และค้ำจุน
ญานิอร,ยา-นิ-ออน,ผู้มีปัญญารู้แจ้ง ผู้มีความรู้ และมีความงามอ่อนหวาน
ญานุจจัย,ยา-นุด-ไจ,ผู้สะสมปัญญา
ญาวงค์,ยา-วง,ผู้เปี่ยมด้วยความรู้
ญิฮาด,ยิ-ฮาด,การต่อสู้ดิ้นรนในหนทางของพระเจ้า
ฎาธรชญา,ดา-ทะ-ระ-ชะ-ยา,ผู้มีคุณธรรมและปัญญา
ฎาธรณัฐ,ดา-ทะ-รัน-ถะ,ผู้มีคุณธรรมและปัญญา
ฎาธรณัฐศรี,ดา-ทะ-นัด-สะ-รี,ผู้มีคุณธรรม ปัญญา และสิริมงคล
ฎาธรธร,ดา-ทะ-ระ-ทอน,ผู้มีคุณธรรม
ฎาธรธรศรี,ดา-ทะ-ระ-สี,ผู้มีคุณธรรมและสิริมงคล
ฎาธรธรสิริ,ดา-ทอน-ทริ-สิน,ผู้มีคุณธรรมและสิริมงคล
ฎาธรธรอารี,ดา-ทะ-ระ-ทอน-อา-รี,ผู้มีคุณธรรมและความเมตตา
ฎาธรวรศรี,ดา-ทอน-วอ-ระ-สี,ผู้มีคุณธรรม ความประเสริฐ และสิริมงคล
ฎาธรวรอารี,ดา-ทอน-วอ-ระ-รา-วี,ผู้มีคุณธรรม ความประเสริฐ และความเมตตา
ฎาธรศรี,ดา-ทะ-รี,ผู้มีคุณธรรมและสิริมงคล
ฎาธรศรีธนา,ดา-ทะ-รี-ทะ-นา,ผู้มีคุณธรรม สิริมงคล และความมั่งคั่ง
ฎาธรศรีธร,ดา-ทะ-รี-สอน,ผู้มีคุณธรรมและสิริมงคล
ฎาธรศิลป์,ดา-ทะ-ริน,ผู้มีคุณธรรม
ฎาธรสิริธร,ดา-ทะ-ริ-สิ-หริ,ผู้มีคุณธรรมและสิริมงคล
ฎาธรอรศรี,ดา-ทอน-รอ-สี,ผู้มีคุณธรรม ความงดงาม และสิริมงคล
ฎาธรอรอารี,ดา-ทอ-รอ-อา-รี,ผู้มีคุณธรรม ความงดงาม และความเมตตา
ฎาธรอารีธร,ดา-ทะ-รา-อี-ทอน,ผู้มีคุณธรรมและความเมตตา
ฎาธรอิศร์,ดา-ทะ-ริด,ผู้มีคุณธรรมและความเป็นผู้นำ
ฎาธินกรศรี,ดา-ทิน-กอ-ระ-สี,ผู้มีความสร้างสรรค์และสิริมงคล
ฎาธินธร,ดา-ทิน-ทอน,ผู้ทรงไว้
ฎาธินธรศรี,ดา-ทิน-ทะ-รี-สอน,ผู้มีสิริมงคล
ฎาธินนภัส,ดา-ทิน-นะ-พัด,ผู้มีความกว้างไกล
ฎาธินวร,ดา-ทิ-นะ-วอน,ผู้มีความประเสริฐ
ฎาธินวริศ,ดา-ทิน-วะ-ริด,ผู้มีความประเสริฐ
ฎาธินอร,ดา-ทิ-นอน,ผู้มีความงดงาม
ฎานิกร,ดา-นิ-กอน,ผู้มีความสุขและความสร้างสรรค์
ฎานิคุณ,ดา-นิ-คุน,ผู้มีความสุขและคุณธรรม
ฎานิชญา,ดา-นิด-ชะ-ยา,ผู้มีความสุขและปัญญา
ฎานิณกร,ดา-นิน-นะ-กอน,ผู้มีความสุขและความสร้างสรรค์
ฎานิณธร,ตา-นิน-ทอน,ผู้มีความสุข
ฎานิณธรศรี,ตา-นิน-ทะ-ระ-สี,ผู้มีความสุขและสิริมงคล
ฎานิณธีร์,ตา-นิน-ที,ผู้มีความสุขและปัญญา
ฎานิณวร,ดา-นิน-วะ-ระ,ผู้มีความสุขและความประเสริฐ
ฎานิณวริศ,ดา-นิน-วะ-ริด,ผู้มีความสุขและความประเสริฐ
ฎานิณอร,ดา-นิ-นอน,ผู้มีความสุขและความงดงาม
ฎานิณอิศร์,ดา-นิ-นิด,ผู้มีความสุขและความเป็นผู้นำ
ฎานิณัฐ,ตา-นิ-นัด,ผู้มีความสุขและปัญญา
ฎานิณัฐศรี,ตา-นิ-นัด-สะ-ยีด,ผู้มีความสุข ปัญญา และสิริมงคล
ฎานิธนา,ดา-นิ-ทะ-นา,ผู้มีความสุขและความมั่งคั่ง
ฎานิธร,ดา-นิ-ทอน,ผู้มีความสุข
ฎานิธรศรี,ดา-นิด-สะ-รี,ผู้มีความสุขและสิริมงคล
ฎานิธรสิริ,ดา-นิด-สะ-หริ-ริ,ผู้มีความสุขและสิริมงคล
ฎานิธรอารี,ดา-นิ-ทอน-อา-รี,ผู้มีความสุขและความเมตตา
ฎานินกร,ดา-นิน-กอน,ผู้มีความสุขและความสร้างสรรค์
ฎานินธร,ตา-นิน-ทอน,ผู้มีความสุข
ฎานินธีร์,ตา-นิน-ที,ผู้มีความสุขและปัญญา
ฎานินวร,ดา-นิน-วะ-ระ,ผู้มีความสุขและความประเสริฐ
ฎานินวริศ,ตา-นิน-วะ-ริด,ผู้มีความสุขและความประเสริฐ
ฎานินอร,ดา-นิ-นอน,ผู้มีความสุขและความงดงาม
ฎานินอิศร์,ดา-นิ-อิด,ผู้มีความสุขและความเป็นผู้นำ
ฎานิวร,ดา-นิ-วอน,ผู้มีความสุขและความประเสริฐ
ฎานิวริศ,ดา-นิ-วะ-ริด,ผู้มีความสุขและความประเสริฐ
ฎานิศรี,ดา-นิด-สะ-รี,ผู้มีความสุขและสิริมงคล
ฎานิศรีธร,ดา-นิด-สะ-ทอน,ผู้มีความสุขและสิริมงคล
ฎานิอร,ดา-นิ-ออน,ผู้มีความสุขและความงดงาม
ฎานิอิศร์,ดา-นิ-อิด,ผู้มีความสุขและความเป็นผู้นำ
ฎามิกร,ดา-มิ-กอน,ผู้มีความเมตตาและความสร้างสรรค์
ฎามิคุณ,ดา-มิก-คุน,ผู้มีความเมตตาและคุณธรรม
ฎามิชญา,ดา-มิด-ชะ-ยา,ผู้มีความเมตตาและปัญญา
ฎามิณกร,ดา-มิน-กอน,ผู้มีความเมตตาและความสร้างสรรค์
ฎามิณธร,ตา-มิน-ทอน,ผู้มีความเมตตา
ฎามิณธีร์,กา-มิน-ที,ผู้มีความเมตตาและปัญญา
ฎามิณวร,กา-มิน-วะ-ระ,ผู้มีความเมตตาและความประเสริฐ
ฎามิณวริศ,กา-มิน-วะ-ริด,ผู้มีความเมตตาและความประเสริฐ
ฎามิณอร,ดา-มิน-ออน,ผู้มีความเมตตาและความงดงาม
ฎามิณอิศร์,กา-มิน-นิ-อิด,ผู้มีความเมตตาและความเป็นผู้นำ
ฎามิณัฐ,กา-มิ-นัด,ผู้มีความเมตตาและปัญญา
ฎามิธนา,กา-มิด-ทะ-นา,ผู้มีความเมตตาและความมั่งคั่ง
ฎามิธร,กา-มิ-ทอน,ผู้มีความเมตตา
ฎามิธรศรี,กา-มิด-ทอ-ระ-สี,ผู้มีความเมตตาและสิริมงคล
ฎามินกร,ดา-มิน-กอน,ผู้มีความเมตตาและความสร้างสรรค์
ฎามินธร,กา-มิน-ทอน,ผู้มีความเมตตา
ฎามินธีร์,กา-มิน-ที,ผู้มีความเมตตาและปัญญา
ฎามินวร,ดา-มิน-วอน,ผู้มีความเมตตาและความประเสริฐ
ฎามินวริศ,กา-มิน-วะ-ริด,ผู้มีความเมตตาและความประเสริฐ
ฎามินอร,ดา-มิน-ออน,ผู้มีความเมตตาและความงดงาม
ฎามินอิศร์,กา-มิน-อิด,ผู้มีความเมตตาและความเป็นผู้นำ
ฎามิวร,ดา-มิ-วอน,ผู้มีความเมตตาและความประเสริฐ
ฎามิวริศ,ดา-มิ-วะ-ริด,ผู้มีความเมตตาและความประเสริฐ
ฎามิศรี,ภา-มิด-สี,ผู้มีความเมตตาและสิริมงคล
ฎามิศรีธร,ดา-มิด-สี-ทอน,ผู้มีความเมตตาและสิริมงคล
ฎามิอร,ดา-มิ-ออน,ผู้มีความเมตตาและความงดงาม
ฎามิอิศร์,ดา-มิ-สิด,ผู้มีความเมตตาและความเป็นผู้นำ
ฎาราคุณ,ดา-รา-คุน,ผู้มีความงดงามและคุณธรรม
ฎาราณัฐ,ตา-รา-นัด,ผู้มีความงดงามและปัญญา
ฎาราธนา,ดา-รา-ทะ-นา,ผู้มีความงดงามและความมั่งคั่ง
ฎาราวร,ดา-รา-วอน,ผู้มีความงดงามและความประเสริฐ
ฎาราอร,ดา-รา-ออน,ผู้มีความงดงาม
ฎาราอิศร์,ดา-รา-อิด,ผู้มีความงดงามและความเป็นผู้นำ
ฎาริณธร,ตา-ริน-ทอน,ผู้มีความรุ่งเรือง
ฎาริณนภัส,ตา-ริน-นะ-พัด,ผู้มีความรุ่งเรืองและความกว้างไกล
ฎาริณวร,ดา-ริน-วอน,ผู้มีความรุ่งเรืองและความประเสริฐ
ฎาริณวริศ,กา-ริน-วะ-ริด,ผู้มีความรุ่งเรืองและความประเสริฐ
ฎาริณอร,ดา-ริน-ออน,ผู้มีความรุ่งเรืองและความงดงาม
ฎารินธร,ตา-ริน-ทอน,ผู้มีความรุ่งเรือง
ฎารินนภัส,กา-ริน-นะ-พัด,ผู้มีความรุ่งเรืองและความกว้างไกล
ฎารินวริศ,กา-ริน-วะ-ริด,ผู้มีความรุ่งเรืองและความประเสริฐ
ฎารุณธีร์,ดา-รุน-ที,ผู้มีปัญญา
ฎารุณอิศร์,กา-รุน-นิด,ผู้มีความเป็นผู้นำ
ฎาลิณธีร์,ดา-ลิน-ที,ผู้มีความอ่อนโยนและปัญญา
ฎาลิณวริศ,กา-ลิน-วิ-ระ-สิด,ผู้มีความอ่อนโยนและความประเสริฐ
ฎาลิณอิศร์,กา-ลิน-นิด,ผู้มีความอ่อนโยนและความเป็นผู้นำ
ฎาลินธีร์,ลา-ลิน-ที,ผู้มีความอ่อนโยนและปัญญา
ฎาลินวริศ,ดา-ลิน-วะ-ริด,ผู้มีความอ่อนโยนและความประเสริฐ
ฎาลินอิศร์,ดา-ลิ-นิด,ผู้มีความอ่อนโยนและความเป็นผู้นำ
ฎาวรกร,ดา-วะ-ระ-กอน,ผู้มีความประเสริฐและความสร้างสรรค์
ฎาวรธรศรี,ดา-วะ-ระ-ทะ-ระ-สี,ผู้มีความประเสริฐและสิริมงคล
ฎาวรธีร์,ดาว-วะ-ที,ผู้มีความประเสริฐและปัญญา
ฎาวรวร,ดา-วอ-ระ-วอน,ผู้มีความประเสริฐ
ฎาวรวรศรี,ดา-วอน-สะ-หวี,ผู้มีความประเสริฐและสิริมงคล
ฎาวรศรีธร,ดา-วะ-รีด-สะ-ทอน,ผู้มีความประเสริฐและสิริมงคล
ฎาวรศิลป์,ดา-วะ-ริน-สะ-ปะ,ผู้มีความประเสริฐ
ฎาวรอร,ดา-วะ-รอน,ผู้มีความประเสริฐและความงดงาม
ฎาวรอรศรี,ดาว-รอ-ระ-สี,ผู้มีความประเสริฐ ความงดงาม และสิริมงคล
ฎาวรอิศร์,ดา-วะ-ริ-สอ,ผู้มีความประเสริฐและความเป็นผู้นำ
ฎาวิณธีร์,กา-วิน-ที,ผู้มีปัญญา
ฎาวิณวริศ,กา-วิน-วะ-ริด,ผู้มีความประเสริฐ
ฎาวิณอิศร์,กา-วิน-นิด,ผู้มีความเป็นผู้นำ
ฎาวินธีร์,กา-วิน-ที,ผู้มีความก้าวหน้าและปัญญา
ฎาวินวริศ,ดา-วิน-วะ-ริด,ผู้มีความก้าวหน้าและความประเสริฐ
ฎาวินอิศร์,ดา-วิ-นิด,ผู้มีความก้าวหน้าและความเป็นผู้นำ
ฎิณาธร,ดิ-นา-ทอน,ผู้มีคุณค่า
ฎิณาธรศรี,ดิ-นา-ทอ-ระ-สี,ผู้มีคุณค่าและสิริมงคล
ฎิณาวร,ดิ-นา-วอน,ผู้มีคุณค่าและความประเสริฐ
ฎิณาวริศ,ดิ-นา-วะ-ริด,ผู้มีคุณค่าและความประเสริฐ
ฎิณาอร,ดิ-นา-ออน,ผู้มีคุณค่าและความงดงาม
ฎิณาอิศร์,ดิ-นา-อิด,ผู้มีคุณค่าและความเป็นผู้นำ
ฎินาธร,นิ-ดา-ทอน,ผู้มีความมั่นคง
ฎินาธรศรี,ดิ-นา-ทอ-ระ-สี,ผู้มีความมั่นคงและสิริมงคล
ฎินาวร,ดิ-นา-วอน,ผู้มีความมั่นคงและความประเสริฐ
ฎินาวริศ,ดิ-นา-วะ-ริด,ผู้มีความมั่นคงและความประเสริฐ
ฎินาอร,ดิ-นา-ออน,ผู้มีความมั่นคงและความงดงาม
ฎินาอิศร์,ดิ-นา-อิด,ผู้มีความมั่นคงและความเป็นผู้นำ
ฎิมาธร,ติ-มา-ทอน,ผู้มีความเมตตา
ฎิมาธรศรี,ดิ-มา-ทอน-สี,ผู้มีความเมตตาและสิริมงคล
ฎิมาวร,ดิ-มา-วอน,ผู้มีความเมตตาและความประเสริฐ
ฎิมาวริศ,ดิ-มา-ระ-วิด,ผู้มีความเมตตาและความประเสริฐ
ฎิมาอร,ดิ-มา-ออน,ผู้มีความเมตตาและความงดงาม
ฎิมาอิศร์,ดิ-มา-อิด,ผู้มีความเมตตาและความเป็นผู้นำ
ฎิราธร,ดิ-รา-ทอน,ผู้มีความรุ่งเรือง
ฎิราธรศรี,ดิ-รา-ทอ-ระ-สี,ผู้มีความรุ่งเรืองและสิริมงคล
ฎิราวรศรี,ดิ-รา-วะ-สี,ผู้มีความรุ่งเรือง ความประเสริฐ และสิริมงคล
ฎิราอรศรี,ดิ-รา-ออน-สี,ผู้มีความรุ่งเรือง ความงดงาม และสิริมงคล
ฎิราอิศร์,ดิ-รา-อิด,ผู้มีความรุ่งเรืองและความเป็นผู้นำ
ฎุรินนภัส,ตุ-ริน-นะ-พัด,ผู้มีความกว้างไกล
ฎุรินวริศ,บุ-ริน-วะ-ริด,ผู้มีความประเสริฐ
ฎุวินธีร์,ดุ-วิน-ที,ผู้มีความก้าวหน้าและปัญญา
ฎุวินวริศ,ดุ-วิน-วะ-ริด,ผู้มีความก้าวหน้าและความประเสริฐ
ฎุวินอิศร์,ดุ-วิ-นิด,ผู้มีความก้าวหน้าและความเป็นผู้นำ
ฏานณณคี,ตาน-นะ-คี,ผู้มีคุณค่า
ฏานณณญี,ตาน-นะ-ยะ-ยี,ผู้มีคุณค่า
ฏานณณธี,ตาน-นน-ที,ผู้มีคุณค่า
ฏานณณรี,ตาน-นะ-รี,ผู้มีคุณค่า
ฏานณณษี,ตาน-นะ-นะ-สี,ผู้มีคุณค่า
ฏานณนคี,ตาน-นะ-คะ-นี,ผู้มีคุณค่า
ฏานณนญี,ตาน-นะ-นะ-ยี,ผู้มีคุณค่า
ฏานณนธี,ตาน-นน-ที,ผู้มีคุณค่า
ฏานณนรี,ตาน-นะ-นะ-รี,ผู้มีคุณค่า
ฏานณนษี,ตาน-นะ-นะ-สี,ผู้มีคุณค่า
ฏานณมคี,ตาน-นะ-มะ-คี,ผู้มีคุณค่า
ฏานณมญี,ตาน-นม-ยี,ผู้มีคุณค่า
ฏานณมธี,ตาน-นะ-มะ-ที,ผู้มีคุณค่า
ฏานณมรี,ตาน-นะ-รม-รี,ผู้มีคุณค่า
ฏานณมษี,ตาน-นะ-สะ-มี,ผู้มีคุณค่า
ฏานณหคี,ตาน-นะ-หะ-คี,ผู้มีคุณค่า
ฏานณหญี,ตาน-นะ-หยี,ผู้มีคุณค่า
ฏานณหธี,ตาน-นะ-หะ-ที,ผู้มีคุณค่า
ฏานณหรี,ตาน-นะ-หะ-รี,ผู้มีคุณค่า
ฏานณหษี,ตาน-นะ-หะ-สี,ผู้มีคุณค่า
ฏานนฉคี,ตาน-นะ-คะ-ฉะ-หี,ผู้มีความมั่นคง
ฏานนฉญี,ตาน-นะ-ฉะ-หยี,ผู้มีความมั่นคง
ฏานนฉธี,ตาน-นะ-ฉะ-ที,ผู้มีความมั่นคง
ฏานนฉรี,ตาน-นะ-ฉะ-หรี,ผู้มีความมั่นคง
ฏานนฉษี,ตาน-นะ-ฉะ-หรี,ผู้มีความมั่นคง
ฏานนฌคี,ตาน-นะ-คะ-ชะ-คี,ผู้มีความมั่นคง
ฏานนฌญี,ตาน-นะ-ชะ-ยี,ผู้มีความมั่นคง
ฏานนฌธี,ตาน-นะ-ชะ-ที,ผู้มีความมั่นคง
ฏานนฌรี,ตาน-นะ-ระ-ชี,ผู้มีความมั่นคง
ฏานนฌษี,ตาน-นะ-สะ-สี,ผู้มีความมั่นคง
ฏานนณคี,ตาน-นะ-คะ-นี,ผู้มีความมั่นคง
ฏานนณญี,ตาน-นะ-นะ-ยี,ผู้มีความมั่นคง
ฏานนณธี,ตา-นน-นะ-ที,ผู้มีความมั่นคง
ฏานนณรี,ตาน-นะ-นะ-รี,ผู้มีความมั่นคง
ฏานนณษี,ตา-นะ-นะ-นะ-สี,ผู้มีความมั่นคง
ฏานนนคี,ตาน-นะ-คะ-นี,ผู้มีความมั่นคง
ฏานนนญี,ตาน-นะ-นะ-ยี,ผู้มีความมั่นคง
ฏานนนธี,ตาน-นน-นะ-ที,ผู้มีความมั่นคง
ฏานนนรี,ตาน-นะ-นะ-รี,ผู้มีความมั่นคง
ฏานนนษี,ตา-นะ-นะ-นะ-สี,ผู้มีความมั่นคง
ฏานนมคี,ตาน-นะ-คะ-มี,ผู้มีความมั่นคง
ฏานนมญี,ตาน-นม-ยี,ผู้มีความมั่นคง
ฏานนมธี,ตาน-นน-มะ-ที,ผู้มีความมั่นคง
ฏานนมรี,ตาน-นะ-มะ-รี,ผู้มีความมั่นคง
ฏานนมษี,ตาน-นะ-มะ-สี,ผู้มีความมั่นคง
ฏานนหคี,ตาน-นี-หะ-คี,ผู้มีความมั่นคง
ฏานนหญี,ตาน-นะ-หยี,ผู้มีความมั่นคง
ฏานนหธี,ตาน-นะ-หะ-ที,ผู้มีความมั่นคง
ฏานนหรี,ตาน-นะ-หะ-รี,ผู้มีความมั่นคง
ฏานนหษี,ตาน-นะ-หะ-สี,ผู้มีความมั่นคง
ฏานนฬคี,ตาน-นะ-คอน-คี,ผู้มีความมั่นคง
ฏานนฬญี,ตาน-นะ-ยะ-ยี,ผู้มีความมั่นคง
ฏานนฬธี,ตาน-นน-ที,ผู้มีความมั่นคง
ฏานนฬรี,ตาน-นะ-ลี-รี,ผู้มีความมั่นคง
ฏานนฬษี,ตาน-นะ-สี,ผู้มีความมั่นคง
ฏานนฮคี,ตาน-นะ-นี-ฮะ-คี,ผู้มีความมั่นคง
ฏานนฮญี,ตาน-น้าม-ยี,ผู้มีความมั่นคง
ฏานนฮธี,ตาน-นน-ฮีด,ผู้มีความมั่นคง
ฏานนฮรี,ตาน-น้าม-ฮี,ผู้มีความมั่นคง
ฏานนฮษี,ตาน-นะ-ฮส-ยี,ผู้มีความมั่นคง
ฏานมฉคี,ตาน-มะ-ฉะ-หมี,ผู้มีความเมตตา
ฏานมฉญี,ตาน-มะ-ฉะ-หยี,ผู้มีความเมตตา
ฏานมฉธี,ตาน-มะ-ฉะ-หมี,ผู้มีความเมตตา
ฏานมฉรี,ตาน-มะ-ฉะ-หรี,ผู้มีความเมตตา
ฏานมฉษี,ตาน-มะ-ฉะ-หี,ผู้มีความเมตตา
ฏานมฌคี,ตาน-มะ-ชี-คะ-เช,ผู้มีความเมตตา
ฏานมฌญี,ตาน-มะ-ชะ-ยี,ผู้มีความเมตตา
ฏานมฌธี,ตาน-มะ-ชา-ที,ผู้มีความเมตตา
ฏานมฌรี,ตาน-มะ-ชะ-รี,ผู้มีความเมตตา
ฏานมฌษี,ตาน-มะ-ชะ-สี,ผู้มีความเมตตา
ฏานมณคี,ตาน-นม-คี,ผู้มีความเมตตา
ฏานมณญี,ตาน-มน-นี,ผู้มีความเมตตา
ฏานมณธี,ตาน-มน-ที,ผู้มีความเมตตา
ฏานมณรี,ตาน-มน-มะ-รี,ผู้มีความเมตตา
ฏานมณษี,ตาน-นม-สะ-สี,ผู้มีความเมตตา
ฏานมนคี,ตาน-มน-นะ-คี,ผู้มีความเมตตา
ฏานมนญี,ตาน-มน-นี,ผู้มีความเมตตา
ฏานมนธี,ตาน-มน-ที,ผู้มีความเมตตา
ฏานมนรี,ตาน-มน-รี,ผู้มีความเมตตา
ฏานมนษี,ตาน-มน-สะ-หนี,ผู้มีความเมตตา
ฏานมมคี,ตาน-มะ-มี-คม,ผู้มีความเมตตา
ฏานมมญี,ตาน-มะ-มะ-ยี,ผู้มีความเมตตา
ฏานมมธี,ตาน-มน-มะ-ที,ผู้มีความเมตตา
ฏานมมรี,ตาน-มะ-มะ-รี,ผู้มีความเมตตา
ฏานมมษี,ตาน-มะ-มะ-สี,ผู้มีความเมตตา
ฏานมหคี,ตาน-มะ-หมี-คะ,ผู้มีความเมตตา
ฏานมหญี,ตาน-มะ-หยี,ผู้มีความเมตตา
ฏานมหธี,ตาน-มะ-หม-ที,ผู้มีความเมตตา
ฏานมหรี,ตาน-มะ-หรี,ผู้มีความเมตตา
ฏานมหษี,ตาน-มะ-หะ-สี,ผู้มีความเมตตา
ฏานมฬคี,ตาน-มน-ละ-คี,ผู้มีความเมตตา
ฏานมฬญี,ตาน-มน-ยะ-ยี,ผู้มีความเมตตา
ฏานมฬธี,ตาน-มน-ทะ-ลี,ผู้มีความเมตตา
ฏานมฬรี,ตาน-มน-รี,ผู้มีความเมตตา
ฏานมฬษี,ตาน-มน-ละ-สี,ผู้มีความเมตตา
ฏานมฮคี,ตาน-มะ-ฮี-ค,ผู้มีความเมตตา
ฏานมฮญี,ตาน-มะ-ฮีย,ผู้มีความเมตตา
ฏานมฮธี,ตาน-มะ-ฮีด,ผู้มีความเมตตา
ฏานมฮรี,ตาน-มะ-ฮี-รี,ผู้มีความเมตตา
ฏานมฮษี,ตาน-มะ-ฮีด,ผู้มีความเมตตา
ฏานัณฉ,ตา-นัน-ฉอ,ผู้มีความมุ่งมั่น
ฏานัณฌ,ตา-นัน-ชุ,ผู้มีความมุ่งมั่น
